"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2222","login page title test","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","4617","verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-08-10","passed","2026-08-10","","search.spec.ts","",""
"","479","PUT API -- Update a user","chromium","2026-08-10","passed","2026-08-10","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2364","forgot pwd link exist test @regression","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","3115","comp logo exists on product page","chromium","2026-08-10","passed","2026-08-10","","search.spec.ts","",""
"","797","GET -- get a user @smoke","chromium","2026-08-10","passed","2026-08-10","","api/users.api.schema.spec.ts","",""
"","3025","invalid login test with excel data - pwbatchtest@open.com @sanity","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","3006","invalid login test with JSON data - invalid@open.com","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","96","GET -- get location data","chromium","2026-08-10","failed","2026-08-10","","api/amadeus.oauth2.spec.ts","",""
"","3237","footers exist on product page","chromium","2026-08-10","passed","2026-08-10","","search.spec.ts","",""
"","2987","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","3215","intercept and log requests","chromium","2026-08-10","passed","2026-08-10","","api/intercept.spec.ts","",""
"","3214","home page title test","chromium","2026-08-10","passed","2026-08-10","","homepage.spec.ts","",""
"","4533","verify user is able to land on the product page - imac - iMac","chromium","2026-08-10","passed","2026-08-10","","search.spec.ts","",""
"","3869","verify search results count - imac - iMac","chromium","2026-08-10","passed","2026-08-10","","search.spec.ts","",""
"","429","GET -- get all users @smoke","chromium","2026-08-10","passed","2026-08-10","","api/users.api.schema.spec.ts","",""
"","3877","verify search results count - macbook - MacBook Pro","chromium","2026-08-10","passed","2026-08-10","","search.spec.ts","",""
"","905","mock search data api","chromium","2026-08-10","passed","2026-08-10","","api/intercept.spec.ts","",""
"","4010","login to app using wrong credentials with Data driven test","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","3797","verify search results count - macbook - MacBook Air","chromium","2026-08-10","passed","2026-08-10","","search.spec.ts","",""
"","343","mock search page with fake HTML","chromium","2026-08-10","passed","2026-08-10","","api/intercept.spec.ts","",""
"","448","create a user test","chromium","2026-08-10","passed","2026-08-10","","api/users.api.spec.ts","",""
"","4741","verify product Information/Data","chromium","2026-08-10","passed","2026-08-10","","productpage.spec.ts","",""
"","1187","DELETE - delete a user","chromium","2026-08-10","passed","2026-08-10","","api/users.api.indi.spec.ts","",""
"","3100","invalid login test with JSON data - wrong@open.com","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","2978","invalid login test with - pwtestbatch@open.com -","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","2847","invalid login test with - - pw1234","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","451","get user test","chromium","2026-08-10","passed","2026-08-10","","api/users.api.spec.ts","",""
"","4521","verify product images count @sanity","chromium","2026-08-10","passed","2026-08-10","","productpage.spec.ts","",""
"","398","Delete a user test","chromium","2026-08-10","passed","2026-08-10","","api/users.api.spec.ts","",""
"","3327","logout link exist test","chromium","2026-08-10","passed","2026-08-10","","homepage.spec.ts","",""
"","2842","invalid login test with excel data - @sanity","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","2259","comp logo exists on product page","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","2174","POST - create a user","chromium","2026-08-10","passed","2026-08-10","","api/users.api.indi.spec.ts","",""
"","3318","footers exist on product page","chromium","2026-08-10","passed","2026-08-10","","productpage.spec.ts","",""
"","3471","comp logo exists on product page @sanity","chromium","2026-08-10","passed","2026-08-10","","productpage.spec.ts","",""
"","433","POST API -- create a user","chromium","2026-08-10","passed","2026-08-10","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3071","invalid login test with excel data - abccc@gmail.com @sanity","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","3235","home page headers exist test","chromium","2026-08-10","passed","2026-08-10","","homepage.spec.ts","",""
"","2336","footers exist on product page","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","418","GET API -- get all users","chromium","2026-08-10","passed","2026-08-10","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2929","invalid login test with - invalid@open.com - wrong123","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","4551","verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-08-10","passed","2026-08-10","","search.spec.ts","",""
"","3253","user is able to login to app test @regression","chromium","2026-08-10","passed","2026-08-10","","loginpage.spec.ts","",""
"","2609","PUT - update a user","chromium","2026-08-10","passed","2026-08-10","","api/users.api.indi.spec.ts","",""
"","404","Update a user test","chromium","2026-08-10","passed","2026-08-10","","api/users.api.spec.ts","",""
"","412","DELETE API -- Delete a user","chromium","2026-08-10","passed","2026-08-10","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
